Info 0    [14:1:38.74] Starting TS Server
Info 58   [14:1:48.498] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 59   [14:1:48.533] Elapsed:: 35ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 60   [14:1:48.551] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.ajv-errors.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 61   [14:1:48.586] Elapsed:: 35ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.ajv-errors.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 62   [14:1:48.604] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/ajv-errors :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 63   [14:1:48.604] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/ajv-errors :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 64   [14:1:48.604] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 65   [14:1:48.637] Elapsed:: 33ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 66   [14:1:48.656] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/LICENSE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 67   [14:1:48.656] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/LICENSE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 68   [14:1:48.656] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/README.md :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 69   [14:1:48.656] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/README.md :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 70   [14:1:48.656] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/index.d.ts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 71   [14:1:48.671] Elapsed:: 15ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/index.d.ts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 72   [14:1:48.672] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/package.json :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 73   [14:1:48.689] Elapsed:: 16ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/package.json :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 74   [14:1:48.689] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.ajv-errors.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 75   [14:1:48.722] Elapsed:: 33ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.ajv-errors.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 76   [14:1:48.738] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/ajv-errors :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 77   [14:1:48.738] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/ajv-errors :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 78   [14:1:48.739] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/ajv-errors :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 79   [14:1:48.739] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-errors/ajv-errors :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 80   [14:1:48.739] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 81   [14:1:48.772] Elapsed:: 33ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 82   [14:1:48.788] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.ajv-keywords.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 83   [14:1:48.820] Elapsed:: 32ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.ajv-keywords.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 84   [14:1:48.837] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/ajv-keywords :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 85   [14:1:48.837] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/ajv-keywords :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 86   [14:1:48.837] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 87   [14:1:48.869] Elapsed:: 32ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 88   [14:1:48.886] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/LICENSE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 89   [14:1:48.886] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/LICENSE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 90   [14:1:48.887] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/README.md :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 91   [14:1:48.887] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/README.md :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 92   [14:1:48.887] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/index.d.ts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 93   [14:1:48.902] Elapsed:: 15ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/index.d.ts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 94   [14:1:48.902] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/package.json :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 95   [14:1:48.918] Elapsed:: 16ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/package.json :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 96   [14:1:48.918] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.ajv-keywords.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 97   [14:1:48.949] Elapsed:: 31ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.ajv-keywords.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 98   [14:1:48.965] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/ajv-keywords :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 99   [14:1:48.965] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/ajv-keywords :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 100  [14:1:48.965] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/ajv-keywords :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 101  [14:1:48.965] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/ajv-keywords/ajv-keywords :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 102  [14:1:48.965] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/argparse :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
